00005855n|Se conoce como juego sexual a los preludios del acto sexual.
00007687n|El bacara o baccarat es un juego de cartas muy comun en los casinos, semejante a una version simplificada del blackjack.
00007779n|El backgammon es un juego de mesa para dos jugadores que auna el azar con profundos conocimientos estrategicos.
00007779n|Juego de mesa para dos jugadores, cuyas piezas se mueven segun el resultado del lanzamiento de dos dados.
00008145n|Juego en el que se usa una pelota.
00008145n|Un juego de pelota es un juego en el cual su elemento esencial es una pelota.
00008800n|La frase base por bolas se refiere al juego de beisbol.
00008885n|La canasta o rummy-canasta es un juego de naipes, variante del rummy.
00009340n|El Keno es un juego de loteria similar al bingo.
00011032n|El blackjack, tambien llamado veintiuna o veintiuno, es un juego de cartas, propio de los casinos, que consiste en obtener 21 puntos mediante la suma de los valores de las cartas.
00011270n|La gallina ciega es un juego infantil en el que los otros jugadores tapan los ojos, normalmente con un pañuelo o venda, a un jugador seleccionado.
00011647n|Juego que se juega con un tablero especialmente diseñado.
00011647n|Un juego de tablero es un juego de mesa que utiliza uno o mas tableros como soporte y -lo que es mas importante- como parte fundamental de su sistema de juego.
00015923n|Los juegos de naipes o cartas son aquellos en los que el unico elemento de juego son unas estampas de carton que forman una baraja y que deben mezclarse antes de jugar.
00017990n|En el juego de ajedrez, un jaque es una amenaza inmediata de capturar al rey.
00018001n|Las damas es un juego de mesa para dos contrincantes.
00018009n|Las damas es un juego de mesa para dos contrincantes.
00018197n|El ajedrez es un juego competitivo entre dos personas, cada una de las cuales dispone de 16 piezas moviles que se colocan sobre un tablero dividido en 64 escaques.
00018197n|Juego de mesa para dos jugadores, se utiliza un tablero de juego compuesto de un cuadrado formado por 64 casillas en 8 filas y 8 columnas, las casillas son de dos colores y estan alternadas por color, cada jugador al inicio del juego cuenta con 16 piezas: ocho peones, dos torres, dos alfiles, dos caballos, una reina y un rey El objetivo del juego es colocar al rey contrario en la posicion en la que no puede evitar ser capturado, esta posicion se llama jaque mate.
00018457n|Las damas chinas, estrella china o tablero chino es un juego de mesa para un numero de jugadores entre dos y seis.
00021477n|Juego que incluye interaccion con una interfaz al usuario para generar resultados visuales en un dispositivo video, generalmente un televisor.
00021477n|Un videojuego o juego de videos es un software creado para el entretenimiento en general y basado en la interaccion entre una o varias personas por medio de un controlador y un aparato electronico que ejecuta dicho videojuego este dispositivo electronico puede ser una computadora, una maquina arcade, una videoconsola, un dispositivo portatil los cuales son conocidos como \"plataformas\".
00022229n|El Bridge o Contract Bridge es un juego de cartas con baraja inglesa consistente en ganar o cobrar bazas.
00023568n|El Craps, tambien llamado pase ingles, es un juego de azar que consiste en realizar distintas apuestas al resultado que se obtendra al lanzar dos dados en el tiro siguiente o en toda una ronda.
00023939n|El croquet es un juego que puede ser un pasatiempo o un deporte de competencia, que consiste en golpear bolas de hierro o plastico con un palo, a traves de cubos enterrados en el campo de juego.
00024021n|Juego de letras que consiste una cuadricula con casillas negras y blancas, cuyo objetivo es rellenar las casillas blancas con letras, para formar asi palabras en direccion horizontal y vertical, que deben cruzarse de manera coherente.
00024021n|Un crucigrama es un pasatiempo escrito que consiste en escribir en una plantilla una serie de palabras en orden vertical y horizontal que se cruzan entre si.
00025278n|Los dardos son un juego que se practica individualmente o por equipos, y que consiste en lanzar tres dardos alternativamente cada jugador a una diana hasta completar una puntuacion determinada o alcanzar unos sectores determinados una serie de veces tambien determinada, segun la variante del juego a la que se este jugando.
00026277n|Juego parcial o completo de dientes artificiales ubicado en la mandibula superior o inferior.
00026277n|Una protesis dental, es un elemento artificial destinado a restaurar la anatomia de una o varias piezas dentarias, restaurando tambien la relacion entre los maxilares, a la vez que devuelve la dimension vertical, y repone los dientes.
00027865n|Actividad, como un juego, que distrae, divierte o estimula.
00027865n|La diversion es el uso del tiempo de una manera planeada para el refresco terapeutico del propio cuerpo o mente.
00028197n|El efecto domino es un juego de destreza o entretenimiento que consiste en colocar sistematicamente una serie de fichas de domino en hilera, formando figuras y mecanismos artificiosos, y al dar un leve empujon a la ficha inicial provocar un efecto en cadena, logrando que todas las fichas terminen cayendo.
00028199n|El domino es un juego de mesa en el que se emplean unas fichas rectangulares, generalmente blancas por la cara y negras por el enves, divididas en dos cuadrados, cada uno de los cuales lleva marcados de cero a seis puntos.
00028625n|Resultado de un juego en el que ningun lado gano.
00028640n|La loteria es un juego que puede ser publico mediante billetes y sorteos o un juego de mesa que consiste en cartones y barajas.
00029575n|Ecarte es un juego de naipes para dos jugadores originario de Francia, el nombre del juego literalmente significa descarte.
00029983n|Bola 8 es un juego de billar muy popular en casi todo el mundo.
00033610n|Fan-Tan, o fantan es un juego de azar de mucha popularidad en China.
00033643n|El cinquillo es un juego de cartas extremadamente similar a los seises.
00037169n|Accion de apostar dinero o alfo de valor material sobre un evento cuya resultado es desconocido, con el proposito primario de ganar dinero o bienes materiales.
00037169n|Los juegos de azar son juegos en los cuales las posibilidades de ganar o perder no dependen de la habilidad del jugador sino exclusivamente del azar.
00037172n|Los juegos de azar son juegos en los cuales las posibilidades de ganar o perder no dependen de la habilidad del jugador sino exclusivamente del azar.
00040833n|El go es un juego de mesa estrategico para dos jugadores.
00040833n|Juego de mesa originario de China.
00040916n|El juego de las sillas musicales o simplemente juego de las sillas es un juego competitivo utilizado en animacion sociocultural o dinamica de grupos, como juego de conocimiento, en el que la musica marca el ritmo y la emocion.
00041010n|El golf es un deporte cuyo objetivo es introducir una bola en los hoyos que estan distribuidos en el campo con el menor numero de golpes, utilizando para cada golpe uno de entre un conjunto de palos ligeramente diferentes entre si.
00041010n|Juego jugado en un gran terreno abierto, cuyo objeto es golpear una bola usando palos, con el menor numero de movimientos posible, en cada uno de los (generalmente] 18 agujeros.
00042685n|Halma es un juego de tablero inventado en 1883 o 1884 por un cirujano plastico norteamericano en la Escuela Medica de Harvard, George Howard Monks.
