Month,#Passengers,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10,t-11,t-12
1950-01-01,115,118,104,119,136,148,148,135,121,129,132,118,112
1950-02-01,126,115,118,104,119,136,148,135,121,129,132,118,118
1950-03-01,141,126,115,118,104,119,148,148,135,121,129,132,132
1950-04-01,135,141,126,115,118,104,136,148,148,135,121,129,129
1950-05-01,125,135,141,126,115,118,119,136,148,148,135,121,121
1950-06-01,149,125,135,141,126,115,104,119,136,148,148,135,135
1950-07-01,170,149,125,135,141,126,118,104,119,136,148,148,148
1950-08-01,170,170,149,125,135,141,115,118,104,119,136,148,148
1950-09-01,158,170,170,149,125,135,126,115,118,104,119,136,136
1950-10-01,133,158,170,170,149,125,141,126,115,118,104,119,119
1950-11-01,114,133,158,170,170,149,135,141,126,115,118,104,104
1950-12-01,140,114,133,158,170,170,125,135,141,126,115,118,118
1951-01-01,145,140,114,133,158,170,149,125,135,141,126,115,115
1951-02-01,150,145,140,114,133,158,170,149,125,135,141,126,126
1951-03-01,178,150,145,140,114,133,170,170,149,125,135,141,141
1951-04-01,163,178,150,145,140,114,158,170,170,149,125,135,135
1951-05-01,172,163,178,150,145,140,133,158,170,170,149,125,125
1951-06-01,178,172,163,178,150,145,114,133,158,170,170,149,149
1951-07-01,199,178,172,163,178,150,140,114,133,158,170,170,170
1951-08-01,199,199,178,172,163,178,145,140,114,133,158,170,170
1951-09-01,184,199,199,178,172,163,150,145,140,114,133,158,158
1951-10-01,162,184,199,199,178,172,178,150,145,140,114,133,133
1951-11-01,146,162,184,199,199,178,163,178,150,145,140,114,114
1951-12-01,166,146,162,184,199,199,172,163,178,150,145,140,140
1952-01-01,171,166,146,162,184,199,178,172,163,178,150,145,145
1952-02-01,180,171,166,146,162,184,199,178,172,163,178,150,150
1952-03-01,193,180,171,166,146,162,199,199,178,172,163,178,178
1952-04-01,181,193,180,171,166,146,184,199,199,178,172,163,163
1952-05-01,183,181,193,180,171,166,162,184,199,199,178,172,172
1952-06-01,218,183,181,193,180,171,146,162,184,199,199,178,178
1952-07-01,230,218,183,181,193,180,166,146,162,184,199,199,199
1952-08-01,242,230,218,183,181,193,171,166,146,162,184,199,199
1952-09-01,209,242,230,218,183,181,180,171,166,146,162,184,184
1952-10-01,191,209,242,230,218,183,193,180,171,166,146,162,162
1952-11-01,172,191,209,242,230,218,181,193,180,171,166,146,146
1952-12-01,194,172,191,209,242,230,183,181,193,180,171,166,166
1953-01-01,196,194,172,191,209,242,218,183,181,193,180,171,171
